#edwName 	badMd5	 goodMd5
2013/4/18/ENCFF001QXE.bam 3bd94337b7e3b83d9a7ff389d85a6936 0b3e841195c0ed46835e954740d67969
2013/4/18/ENCFF001QXF.bam 7a873c351b14d77dab922cd90499ff8c a4f5c0346db8f6787d88583d6599109e
2013/4/18/ENCFF001QXG.bam 9de19d8687ae5bf8b29110c3d187118d 140769da9fc0dc72b4dad56864568495
2013/4/18/ENCFF001QXH.bam 7aa6c2bf44c3a5cebb02c429409a2835 5a2f03ab565fb25722ed1185faea2c3f
2013/4/18/ENCFF001QXI.bam 6d27bdbeed54b1caab76f1ff92f11cd6 c63c8a490451fdc93d6ecae93f3e952b
2013/4/18/ENCFF001QXJ.bam 658df86aa1f3bb2b3101adbc86b04318 f12eea4b384e29bf5f50d0e91c63dd2f
2013/4/18/ENCFF001QXK.bam 5908a97d6f329355bf4a166069c333d2 8373b4a3332d257368255c2df26bbb76
2013/4/18/ENCFF001QXL.bam 6d90300b229ffe50b96b3dea136e6d5a 6aeb85401b70003f906da45a779720fc
2013/4/18/ENCFF001QXM.bam 64bf19563012c86a819eeb3f466729d8 90762246cbaa762f41db9bbc96adaf51
2013/4/18/ENCFF001QXN.bam f1d3ebbc233558b08fbe8663cbcb7617 1d1d517d732ead3432154cd1f61cbbb1
2013/4/18/ENCFF001QXO.bam dc3623e6f83cd73aad310c94102c63d8 3412a68cf57fd813a0d1b6ef01ee0766
2013/4/18/ENCFF001QXP.bam dddce6223874d9acfea343de56c165fc 6d37305ea41e119c00ed495408126491
2013/4/18/ENCFF001QXQ.bam 8a32f7832c7f0979b06bd2adee8864b6 e0d18049679642a6d0168660042c78a1
2013/4/18/ENCFF001QXR.bam b30e68d2cff76dabedfe1ba179537670 86ce8658bf2105284fa1343a65d6e5b4
2013/4/18/ENCFF001QXS.bam df56efdb07fb35b0cb6f6afa6157c4ab 7b845f5d7ee348b991aa19cbe75ee334
2013/4/18/ENCFF001QXT.bam c005d10f542348af43f1c44e8dc1dd4d b3230161918cb14683f5c247d6384092
2013/4/18/ENCFF001QXU.bam 2834d666ade4b086e6b4dbf3e4bc33bd 0c8cfca495d559abca0b8ee354250deb
2013/4/18/ENCFF001QXV.bam 54c55b94d8a0c7142e7097b825f75f26 afed63d248f182b207fba28993f55aa6
2013/4/18/ENCFF001QXW.bam af6fe719b660703cff82fdc1689c84e0 5cc22b149dd8c189b29c80924912b76c
2013/4/18/ENCFF001QXX.bam 3d3e2642d7cb87291a25feb3a2c1eed3 c2d9b192825cd01e356f03991423983d
2013/4/18/ENCFF001QXY.bam 508e725bb6677274b73a22f40c196d5f 8abd9862290f3acb8c62806d5b0c57ff
2013/4/18/ENCFF001QXZ.bam 29579bcaca029781a284a09c8d8aaa63 e0f56e086edf91a454c9763ed70cef2d
2013/4/18/ENCFF001QYA.bam 12b85fe823b385655d283958933966ad 8c067e1c39769a1dd7f8f5b31da0c20a
2013/4/18/ENCFF001QYB.bam edbabc32d2a0a92b0ce64e46203fc452 9a526857d85f2c1fad92dfe3f0f01f07
2013/4/18/ENCFF001QYC.bam 0dfd47d8aa94034fa93495906c3f1898 7577fbce2319a777234e2a3ac87f74d6
2013/4/18/ENCFF001QYD.bam 1aeb3e44aeb8d1fc12c3b4201c9d6113 4e70ffc2c3b54344d3a3bd9c8ee3f333
2013/4/18/ENCFF001QYE.bam 38d4e2dc3b8617f16a6927f4e6c257b8 176961cf70ed3fedea68c1626b8f4815
2013/4/18/ENCFF001QYF.bam 2ad90c87142c7368f48b46104b8ac84d 7631ba95140a51fee57cae1fef5b0ce6
2013/4/18/ENCFF001QYG.bam a918549be179a4a0f5577b8f4feab5b7 91ad7f85f1631e13ebc49380989444b0
2013/4/18/ENCFF001QYH.bam ad540df43e583a4e1f0589c427712d24 918b6417a11593fd4824bb32ba94ac42
2013/4/18/ENCFF001QYI.bam bb28d5f1b70e6f5066a1f47b6beded94 c851da41bed0515c0af10d676d7a9b97
2013/4/18/ENCFF001QYJ.bam 8f165fc51713c2fe381d8e575d68bdc2 aed203de572cc591793d77bde98e3cf2
2013/4/18/ENCFF001QYK.bam a137383bd1d5351c3b6db6c2c4baa830 db7e570694fd8c4e8c6079d0a7927d4b
2013/4/18/ENCFF001QYL.bam 08b52938d2f81986ff48e6925cf159f6 8c3124c9c530e07b1138fcbcdb887c92
